EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
45,PhySO,Feynman,feynman_I_43_31,45,0.01,T*kb*mob,4727161,5,4,5.0,4.2,5,5,5,1.0,6.654749143267148e-05,0.006651306658177868,0.9999998225529241,0.9999998220221211,1.0
46,PhySO,Feynman,feynman_I_43_43,46,0.01,kb*v/(A*(gamma - 1)),4125381,5,1,19.4,14.2,5,5,5,1.0,3.348441622351993e-08,9.263643899666237e-05,0.9999999871157992,0.9999999869403218,1.0
47,PhySO,Feynman,feynman_I_44_4,47,0.01,log((V2/V1)**(T*kb*n)),4962079,5,5,13.6,11.0,5,5,5,1.0,6.675083874054719e-06,0.001524237773533761,0.9999999841707987,0.9999999842357178,1.0
48,PhySO,Feynman,feynman_I_47_23,48,0.01,gamma**0.5*pr**0.5/rho**0.5,4945416,5,4,17.4,11.6,4,4,5,1.0,1.1502814116625982e-07,0.0003161479502181048,0.9999997498886665,0.9999997479326763,0.8
49,PhySO,Feynman,feynman_I_48_2,49,0.01,c**3.0*m/(c**2 - v**2)**0.5,4954404,5,5,16.8,15.6,0,0,0,0.0,0.006462328953065817,0.035868143497297625,0.9999993995996694,0.9999993656872433,0.8
50,PhySO,Feynman,feynman_I_50_26,50,0.01,x1*(alpha*cos(omega*t) + 1)*cos(omega*t),4967262,5,5,17.4,16.2,1,1,1,0.2,0.07027270518258724,0.21306378508029458,0.9816900962292376,0.9816287200935965,0.2
51,PhySO,Feynman,feynman_II_2_42,51,0.01,A*kappa*(-T1 + T2)/d,4964875,5,5,16.4,11.0,5,5,5,1.0,4.577872000825133e-07,0.00047077167622681953,0.9999999919777753,0.9999999919253253,1.0
52,PhySO,Feynman,feynman_II_3_24,52,0.01,0.08*Pwr/r**2,3864230,5,3,6.0,6.0,5,5,5,1.0,6.911374531086369e-12,1.6850005302394225e-06,0.9999999978115903,0.9999999978102532,1.0
53,PhySO,Feynman,feynman_II_4_23,53,0.01,0.08*q/(epsilon*r),4008672,5,3,9.0,9.0,5,5,5,1.0,3.252427290729318e-13,4.3190181627492246e-07,0.9999999997091982,0.9999999997078683,1.0
54,PhySO,Feynman,feynman_II_6_11,54,0.01,0.08*p_d*cos(theta)/(epsilon*r**2),4945147,5,4,11.4,11.0,5,5,5,1.0,8.514034327403997e-12,1.9027385788567916e-06,0.9999999792925185,0.9999999793683257,1.0
55,PhySO,Feynman,feynman_II_6_15a,55,0.01,0.239*p_d*z*(x**2 + y**2)**0.5/(epsilon*r**5),4956597,5,5,11.4,11.4,0,0,0,0.0,0.006619507541356245,0.03031575000972762,0.9501735258252578,0.9509734203262705,0.2
56,PhySO,Feynman,feynman_II_6_15b,56,0.01,0.12*p_d*sin(2*theta)/(epsilon*r**3),4389312,5,3,14.2,13.0,5,5,5,1.0,4.300384175581315e-12,1.1564063146330674e-06,0.9999999951419715,0.9999999951381899,1.0
57,PhySO,Feynman,feynman_II_8_7,57,0.01,0.048*q**2/(d*epsilon),4954492,5,5,11.2,11.0,5,5,5,1.0,1.153056338355151e-10,7.192919176935774e-06,0.9999999853444737,0.9999999853566283,1.0
58,PhySO,Feynman,feynman_II_8_31,58,0.01,0.5*Ef**2*epsilon,4951748,5,5,6.0,6.0,5,5,5,1.0,4.736531327689914e-06,0.0016815549414438903,0.9999999710728649,0.9999999710518191,1.0
59,PhySO,Feynman,feynman_II_10_9,59,0.01,sigma_den/(epsilon*(chi + 1)),4334763,5,4,21.6,12.4,5,5,5,1.0,2.996208330342812e-09,3.7990180039583855e-05,0.9999999509487684,0.9999999500905059,1.0
60,PhySO,Feynman,feynman_II_11_3,60,0.01,-Ef*q/(m*(omega**2 - omega_0**2)),4382199,5,4,16.4,15.0,2,3,2,0.6,2.205349645312002e-07,0.0002999630489212932,0.9999854732789912,0.9999857113086598,0.8
62,PhySO,Feynman,feynman_II_11_20,62,0.01,0.333*Ef*n_rho*p_d**2/(T*kb),3677168,5,2,13.6,13.0,5,5,5,1.0,3.292351290735775e-07,0.0003388523719752739,0.9999999931825848,0.9999999932339289,1.0
