epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
755,0.06861949794908873,0.7902815901593911,0.9370946186526385,0.8338341308709026,11.0,20.684,0.3939804965222533,234,92,((((((((Omega/(((x)**(-1))-Omega)))**(0.5)))**(-1)))**(2))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[21.23965339  1.0198531 ],[ 5.1745069  -0.01022454]
756,0.09613150345452941,0.8026218723800558,0.9370946186526385,0.8701013897033785,9.0,20.378,0.4927821890561304,237,125,(H0*(((x+(sin(x)-Omega)))**(0.5))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[6.2883964  1.85701414],[ 5.1745069  -0.01022454]
757,0.0700330576787998,0.7904110745843095,0.9370946186526385,0.867358605337801,14.0,20.674,0.4175666110702434,219,92,(log(((exp((((((((Omega-x))**(2))/1)-x))**(0.5))))**(0.5)))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[8.84403436 2.01516874],[ 5.1745069  -0.01022454]
758,0.07009656009031989,0.796161661059202,0.9370946186526385,0.8591895172942361,13.0,20.59,0.48982337901489453,216,93,(((log((exp(x)/((exp((((Omega-x))**(0.5))))**(0.5)))))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[6.85010399 5.09147575],[ 5.1745069  -0.01022454]
759,0.06937748426071869,0.7906856774916797,0.9370946186526385,0.8543230336237991,15.0,20.728,0.4350420032621479,209,93,(((log(((((((x)**(2))+1)-(Omega+Omega)))**(0.5))))**(0.5))*(H0+H0)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[3.58337438 0.51017355],[ 5.1745069  -0.01022454]
760,0.07449918607429537,0.7904172426594331,0.9370946186526385,0.8369548128583678,19.0,20.503,0.4382668994256827,226,98,(H0+(cos(((((((1)**(2)))**(-1))+((((exp(1))**(-1)))**(0.5)))-Omega))/(x*(x/H0)))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[12.2640779  -1.29934965],[ 5.1745069  -0.01022454]
761,0.07399391930624447,0.7937298867566834,0.9370946186526385,0.8528727005026875,18.0,20.418,0.37515434531871716,245,98,(((((H0*cos((((Omega)**(-1))/exp(x)))))**(0.5))/x)*(x/(((Omega/H0))**(0.5)))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[2.76073051 0.23184048],[ 5.1745069  -0.01022454]
762,0.07717525583722212,0.8006032376549674,0.9370946186526385,0.8973715398881709,15.0,20.472,0.6324677512607598,228,102,((((exp((((((Omega)**(2)))**(-1))-Omega))-((x)**(-1)))*(1*((H0)**(2)))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[10.24453969  1.00336771],[ 5.1745069  -0.01022454]
763,0.07752880794601281,0.7997477315807064,0.9370946186526385,0.8546702565503294,12.0,20.373,0.47013171364764395,242,102,((((sin((1*x))+(Omega-((1)**(0.5)))))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[10.18278637  0.15310362],[ 5.1745069  -0.01022454]
764,0.07418057719345039,0.7891245060736715,0.9370946186526385,0.8364872666139161,16.0,20.449,0.4454653161846301,247,100,((((exp(((cos(((x)**(-1))))**(0.5)))-((Omega)**(0.5)))*(H0+H0))+H0)-H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[9.79746227 4.27579788],[ 5.1745069  -0.01022454]
765,0.0629337636437341,0.7888540445279563,0.9370946186526385,0.8338215058715333,17.0,20.552,0.512138576980741,229,83,((log((exp((cos(((Omega)**(-1)))/(x*(x/x))))/1))*H0)+H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[21.27182753  0.33972884],[ 5.1745069  -0.01022454]
766,0.0812373921980165,0.7992940193725818,0.9370946186526385,0.854230726543766,18.0,20.541,0.4982301349223645,228,106,(((((((Omega*(((H0*Omega)/H0)-x)))**(0.5))*x)*H0)+H0)-H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[6.76761773 1.01011841],[ 5.1745069  -0.01022454]
767,0.06833946433210593,0.7869281053120131,0.9370946186526385,0.8207497106186518,4.0,20.47,0.42285511931304015,235,91,(H0*log(x)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[28.27552447  1.        ],[ 5.1745069  -0.01022454]
768,0.07235687640570287,0.7990011908901876,0.9370946186526385,0.8734302415193215,14.0,20.734,0.555051611664863,220,94,((((Omega+(sin((exp(Omega)*((x)**(-1))))-x))*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[6.48417221 0.11442282],[ 5.1745069  -0.01022454]
769,0.07469348800405608,0.7949941069718488,0.9370946186526385,0.8816923056763752,15.0,20.311,0.49189921474795967,247,99,(((1/((exp(x)/exp(Omega))/((Omega+x)*((H0)**(2))))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[23.60246505 -1.0101218 ],[ 5.1745069  -0.01022454]
