i_eq,i_trial,noise,n_reals,# EVALUATIONS,STARTED,FINISHED,last_pareto_expression,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,equivalent_expr,i_pareto,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,RUN COMMAND,RUN NAME,result_analysis_time
7,3,0.001,1,198842,True,True,3.32449768492787*(-0.00521159205945058 + m/A)**0.5 + 0.02,-0.02,1,True,True,True,,True,3.33*m**0.5/A**0.5 + 0.02,10,0.9999993873265792,True,0.999999998725924,True,python classbench_run.py -i 7 -t 3 -n 0.001000 -r 1,CR_7_3_1_0.001000,7.937574863433838
7,3,0.001,10,198328,True,True,3.33*(A*m)**0.5/A,0,1,True,True,True,,True,3.33*m**0.5/A**0.5,8,0.9999997328713598,True,0.9999999997847188,True,python classbench_run.py -i 7 -t 3 -n 0.001000 -r 10,CR_7_3_10_0.001000,2.387976884841919
7,3,0.01,1,198338,True,True,3.28*((-0.05*A + m + 0.02)/A)**0.5 + 0.14,m**0.52*(3.33 - 3.37*I)/A**0.52,-0.99*I,False,False,True,,True,3.37*I*m**0.5/A**0.5,8,0.9999413807146434,True,0.9999999998706424,True,python classbench_run.py -i 7 -t 3 -n 0.010000 -r 1,CR_7_3_1_0.010000,10.7152578830719
7,3,0.01,10,199210,True,True,(3.32*(A*m)**0.5 + 0.02)/A,0,1,True,True,True,,True,3.32*m**0.5/A**0.5 + 0.02/A,7,0.9999754770281594,True,1.0,True,python classbench_run.py -i 7 -t 3 -n 0.010000 -r 10,CR_7_3_10_0.010000,1.0033588409423828
7,3,0.1,1,199846,True,True,3.1099838263245*(-0.104427736006683*A - 0.0208855472013367*m**2 + 0.238095238095238*m + m/A)**0.5,m**0.52*(3.33 - 3.46*I)/A**0.52,-0.94*I,False,False,True,,True,3.45*I*m**0.5/(A + 0.02*m)**0.5,5,0.9873852616505864,False,0.99999999844231,True,python classbench_run.py -i 7 -t 3 -n 0.100000 -r 1,CR_7_3_1_0.100000,2.34615707397461
7,3,0.1,10,198530,True,True,1.0*(3.14253225918208*(A*(0.0825688073394495*A + m - 0.330275229357798))**0.5 + 0.5418)/A,0.3*m**0.5/A**0.5,1,False,False,True,,True,5.3*m**0.5/A**0.5,12,0.9974519089195406,False,0.9999999999999912,True,python classbench_run.py -i 7 -t 3 -n 0.100000 -r 10,CR_7_3_10_0.100000,1.2566912174224854
7,4,0.0,1,198842,True,True,2.67562917834292*(m/A)**0.5,0,1,True,True,True,,True,2.67*m**0.5/A**0.5,6,0.9999999999999986,True,1.0,True,python classbench_run.py -i 7 -t 4 -n 0.000000 -r 1,CR_7_4_1_0.000000,1.471463918685913
7,4,0.0,10,198574,True,True,2.67243297390225*(m/A)**0.5,0,1,True,True,True,,True,2.67*m**0.5/A**0.5,11,0.9999999999998544,True,1.0,True,python classbench_run.py -i 7 -t 4 -n 0.000000 -r 10,CR_7_4_10_0.000000,0.3011388778686523
7,4,0.001,1,198906,True,True,2.67*(A*m)**0.5/A,0,1,True,True,True,,True,2.67*m**0.5/A**0.5,7,0.999999585218724,True,0.999999999999874,True,python classbench_run.py -i 7 -t 4 -n 0.001000 -r 1,CR_7_4_1_0.001000,1.606943130493164
7,4,0.001,10,199222,True,True,2.67*(m/A)**0.5,0,1,True,True,True,,True,2.67*m**0.5/A**0.5,9,0.9999998515024526,True,0.9999999999996498,True,python classbench_run.py -i 7 -t 4 -n 0.001000 -r 10,CR_7_4_10_0.001000,1.717094898223877
7,4,0.01,1,199121,True,True,(2.64*(A*m - 0.16)**0.5 + 0.17)/A,m**0.52*(2.69*A**0.48 - 2.66*A**0.52)/A**1.0,1,False,False,True,,True,2.66*(A*m + 0.01*m - 0.03)**0.5/A,8,0.999948389635502,True,0.9999999999943604,True,python classbench_run.py -i 7 -t 4 -n 0.010000 -r 1,CR_7_4_1_0.010000,3.380990982055664
7,4,0.01,10,198981,True,True,2.68700576850888*((m**2 - 0.0701939058171745*m + 0.07)/(A*m))**0.5,0,1,True,True,True,,True,2.68*m**0.5/A**0.5,8,0.999986064575066,True,0.9999999999999964,True,python classbench_run.py -i 7 -t 4 -n 0.010000 -r 10,CR_7_4_10_0.010000,1.26438307762146
7,4,0.1,1,198937,True,True,0.21*m + 0.83*m/(0.09*A*m + 0.37),m**0.5*(2.7 - 2.6*I)/A**0.5,-I,False,False,True,,True,2.6*I*m**0.5/A**0.5,4,0.9947767122345268,False,0.9999999999999946,True,python classbench_run.py -i 7 -t 4 -n 0.100000 -r 1,CR_7_4_1_0.100000,2.2186450958251953
7,4,0.1,10,199532,True,True,2.88*(0.09 + m/A)**0.5 - 0.4,-0.02*m**0.52/A**0.52,1,False,False,True,,True,2.69*(m - 0.02)**0.5/A**0.5,10,0.9979393405545692,False,0.9999999995741344,True,python classbench_run.py -i 7 -t 4 -n 0.100000 -r 10,CR_7_4_10_0.100000,5.408616065979004
