EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
62,PhySO,Feynman,feynman_II_11_20,62,0.1,0.333*Ef*n_rho*p_d**2/(T*kb),4868817,5,4,13.0,13.0,5,5,5,1.0,3.409087552638682e-05,0.0033516407687156327,0.999999320486863,0.99999931313066,1.0
63,PhySO,Feynman,feynman_II_11_27,63,0.1,-Ef*alpha*epsilon*n/(0.333*alpha*n - 1),4960718,5,5,12.0,11.0,0,0,0,0.0,1.6693170670693375e-05,0.003281182135892181,0.99996655203105,0.9999660064716231,1.0
64,PhySO,Feynman,feynman_II_11_28,64,0.1,-alpha*n/(0.333*alpha*n - 1) + 1,4986047,5,5,12.2,13.0,0,0,0,0.0,8.85131281225532e-06,0.0025787490264689928,0.9998943510988467,0.9998962912099587,1.0
65,PhySO,Feynman,feynman_II_13_17,65,0.1,0.159*I/(c**2*epsilon*r),4953433,5,5,12.0,12.0,5,5,5,1.0,2.8367895355518603e-09,2.8003435599848946e-05,0.9999954618708468,0.9999954588849025,1.0
66,PhySO,Feynman,feynman_II_13_23,66,0.1,rho_c_0/(1 - v**2/c**2)**0.5,4959549,5,5,20.4,20.2,0,0,0,0.0,5.437296141826995e-05,0.005647518196711269,0.9999631477674461,0.9999634928584473,0.6
67,PhySO,Feynman,feynman_II_13_34,67,0.1,rho_c_0*v/(1 - v**2/c**2)**0.5,4955909,5,5,18.4,17.6,0,0,0,0.0,8.350987841012849e-05,0.006016143481477543,0.9999811175312731,0.9999808956531426,1.0
68,PhySO,Feynman,feynman_II_15_4,68,0.1,-B*mom*cos(theta),4148026,5,4,9.8,7.4,4,4,5,1.0,7.19589063654808e-05,0.006122937365752006,0.9999973771466908,0.9999973467241997,1.0
69,PhySO,Feynman,feynman_II_15_5,69,0.1,-Ef*p_d*cos(theta),4970405,5,5,7.2,6.4,4,4,5,1.0,3.693902776090415e-05,0.004501011930824972,0.9999986382002827,0.999998633617573,1.0
70,PhySO,Feynman,feynman_II_21_32,70,0.1,0.08*c*q/(epsilon*r*(c - v)),4952651,5,5,15.6,15.6,1,1,1,0.2,5.6673225498816076e-05,0.0038987269373567056,0.9759278663200726,0.9751113492333193,0.2
71,PhySO,Feynman,feynman_II_24_17,71,0.1,3.14*(-1/d**2 + 0.101*omega**2/c**2)**0.5,4952336,5,5,17.6,17.6,2,2,2,0.4,1.7638360807773056e-05,0.004120521341594094,0.9999760756063829,0.9999761519543368,0.8
