m,x,y,z,vx,vy,vz,ra,dec,dis,vh,mu_r,mu_d,l,b,mu_l,mu_b,l_alt,phi1,phi2,mu_p1,mu_p2,sID
0.0,-38.666523,-5.501845,43.020084,-136.390966,-42.361149,89.613578,151.822307,34.802556,53.014601,178.545592,-0.454726,-1.032403,-169.770706,54.240406,1.039078,-0.439258,-169.770706,50.228608,4.688717,0.564848,0.976513,57
0.0,-40.012157,-5.922821,43.895982,-132.749468,-41.832482,85.590576,151.023271,34.625588,54.546774,175.334173,-0.423861,-1.005264,-169.460491,53.585172,1.00637,-0.421229,-169.460491,50.90359,4.789833,0.539675,0.948137,57
0.0,-41.321778,-6.338468,44.732366,-129.187603,-41.295612,81.709049,150.277677,34.452025,56.032765,172.127042,-0.396304,-0.98009,-169.173392,52.970463,0.976573,-0.404892,-169.173392,51.536636,4.886985,0.517018,0.922131,57
0.0,-42.596158,-6.74871,45.530597,-125.700285,-40.751835,77.957865,149.579568,34.281909,57.473384,168.931066,-0.371587,-0.956708,-168.906194,52.391879,0.949333,-0.390043,-168.906194,52.132339,4.980586,0.49654,0.898229,57
0.0,-43.836017,-7.153485,46.291924,-122.28279,-40.202216,74.327073,148.923839,34.115216,58.869422,165.751344,-0.349323,-0.934964,-168.656265,51.845639,0.924352,-0.376509,-168.656265,52.69464,5.070993,0.477963,0.876206,57
0.0,-45.042032,-7.552737,47.017509,-118.930731,-39.647627,70.807737,148.306093,33.951873,60.221648,162.591613,-0.329187,-0.914719,-168.421421,51.32847,0.901376,-0.364139,-168.421421,53.226941,5.15852,0.461052,0.855866,57
0.0,-46.214837,-7.946423,47.708423,-115.640022,-39.088783,67.391807,147.722524,33.791781,61.530807,159.454557,-0.310909,-0.895847,-168.199836,50.83753,0.88019,-0.352806,-168.199836,53.732197,5.243444,0.445609,0.837042,57
0.0,-47.355026,-8.334501,48.365665,-112.406862,-38.526269,64.072003,147.169817,33.634819,62.797617,156.342038,-0.294258,-0.878236,-167.989972,50.370335,0.86061,-0.342398,-167.989972,54.212984,5.326007,0.431467,0.819587,57
0.0,-48.463155,-8.716937,48.990161,-109.227702,-37.96056,60.841724,146.645073,33.480853,64.022766,153.25528,-0.27904,-0.861785,-167.790519,49.924705,0.842477,-0.33282,-167.790519,54.671561,5.406429,0.41848,0.803375,57
0.0,-49.53975,-9.093702,49.582776,-106.099227,-37.392042,57.694962,146.145746,33.329743,65.206913,150.195008,-0.265089,-0.846403,-167.600354,49.498716,0.825652,-0.323988,-167.600354,55.109921,5.484903,0.406527,0.788293,57
0.0,-50.5853,-9.464769,50.144319,-103.018335,-36.821023,54.626234,145.669587,33.181345,66.350687,147.161556,-0.252263,-0.832008,-167.418512,49.090666,0.810016,-0.315829,-167.418512,55.529825,5.561604,0.395499,0.774245,57
0.0,-51.600267,-9.830115,50.675543,-99.982119,-36.24775,51.630524,145.214606,33.035516,67.454689,144.154953,-0.240439,-0.818528,-167.244152,48.699041,0.795464,-0.308279,-167.244152,55.932837,5.636691,0.385305,0.761144,57
0.0,-52.585083,-10.189717,51.177156,-96.987848,-35.672411,48.703228,144.779032,32.892112,68.519491,141.174989,-0.229511,-0.805896,-167.076541,48.32249,0.781903,-0.301283,-167.076541,56.320352,5.710306,0.375864,0.748913,57
0.0,-53.540156,-10.543556,51.649821,-94.032955,-35.09515,45.840111,144.361284,32.750995,69.545638,138.221268,-0.219385,-0.794053,-166.915036,47.959803,0.769252,-0.294791,-166.915036,56.693621,5.78258,0.367106,0.737485,57
0.0,-54.465867,-10.891614,52.094158,-91.115019,-34.516071,43.037267,143.959948,32.612026,70.533646,135.293251,-0.209983,-0.782945,-166.759069,47.609892,0.757439,-0.28876,-166.759069,57.053766,5.853632,0.35897,0.726799,57
0.0,-55.362574,-11.233871,52.510753,-88.231755,-33.935244,40.291085,143.573752,32.475075,71.484006,132.390288,-0.201233,-0.772523,-166.608135,47.271777,0.746399,-0.283151,-166.608135,57.401798,5.923572,0.3514,0.716802,57
0.0,-56.230612,-11.570312,52.900156,-85.381001,-33.352708,37.59822,143.201547,32.340012,72.397184,129.511642,-0.193073,-0.762743,-166.461787,46.94457,0.736077,-0.277931,-166.461787,57.738633,5.9925,0.344349,0.707445,57
0.0,-57.070297,-11.90092,53.262884,-82.56071,-32.768478,34.955565,142.842299,32.206715,73.27362,126.656514,-0.185448,-0.753566,-166.319622,46.627465,0.72642,-0.273068,-166.319622,58.065099,6.060509,0.337775,0.698685,57
0.0,-57.881923,-12.225676,53.599424,-79.768936,-32.182546,32.360229,142.495067,32.075063,74.113732,123.824056,-0.17831,-0.744955,-166.181279,46.319731,0.717385,-0.268536,-166.181279,58.381953,6.127688,0.33164,0.690484,57
0.0,-58.665766,-12.544564,53.910236,-77.003828,-31.594884,29.809517,142.158997,31.944941,74.917916,121.013386,-0.171616,-0.736877,-166.046432,46.020698,0.708929,-0.26431,-166.046432,58.689883,6.194116,0.32591,0.682805,57
0.0,-59.422084,-12.857567,54.195753,-74.263624,-31.005446,27.30091,141.833308,31.816238,75.686543,118.223598,-0.165327,-0.729303,-165.914785,45.729754,0.701016,-0.26037,-165.914785,58.989519,6.25987,0.320554,0.675619,57
0.0,-60.151118,-13.164667,54.456385,-71.546637,-30.414171,24.832048,141.517289,31.688848,76.419966,115.453769,-0.15941,-0.722205,-165.78607,45.446337,0.693614,-0.256694,-165.78607,59.28144,6.325021,0.315547,0.668896,57
0.0,-60.853091,-13.465844,54.692517,-68.851256,-29.820985,22.400721,141.210286,31.562666,77.118517,112.702968,-0.153833,-0.715559,-165.66004,45.169931,0.686691,-0.253267,-165.66004,59.566178,6.389636,0.310864,0.662611,57
0.0,-61.528212,-13.761079,54.904515,-66.175934,-29.2258,20.004847,140.911701,31.437593,77.782506,109.970258,-0.14857,-0.709342,-165.53647,44.900058,0.680223,-0.250071,-165.53647,59.844223,6.45378,0.306483,0.656739,57
0.0,-62.176674,-14.050352,55.092724,-63.519185,-28.628517,17.64247,140.620981,31.313532,78.412227,107.254703,-0.143595,-0.703533,-165.415153,44.636277,0.674183,-0.247093,-165.415153,60.116031,6.517513,0.302385,0.651261,57
0.0,-62.798655,-14.333642,55.257468,-60.879578,-28.029026,15.311742,140.337617,31.190389,79.007955,104.555369,-0.138886,-0.698114,-165.295896,44.37818,0.668551,-0.24432,-165.295896,60.382022,6.580893,0.298552,0.646157,57
0.0,-63.39432,-14.610925,55.399057,-58.255731,-27.427209,13.010917,140.061136,31.068073,79.569947,101.871326,-0.134423,-0.693069,-165.178524,44.125386,0.663306,-0.241741,-165.178524,60.642586,6.643976,0.294969,0.64141,57
0.0,-63.963819,-14.882177,55.517779,-55.646308,-26.822936,10.738342,139.791103,30.946496,80.098443,99.20165,-0.130188,-0.688381,-165.062869,43.877541,0.65843,-0.239345,-165.062869,60.898088,6.706816,0.291621,0.637004,57
0.0,-64.507292,-15.147374,55.61391,-53.050015,-26.21607,8.492451,139.52711,30.825572,80.593666,96.545426,-0.126164,-0.684036,-164.948778,43.634313,0.653908,-0.237123,-164.948778,61.14887,6.769464,0.288495,0.632925,57
0.0,-65.024861,-15.406489,55.68771,-50.465594,-25.606467,6.271752,139.26878,30.705215,81.055824,93.901744,-0.122335,-0.680023,-164.836106,43.395394,0.649724,-0.235065,-164.836106,61.395249,6.831971,0.285579,0.629159,57
0.0,-65.516641,-15.659494,55.739423,-47.891819,-24.993971,4.074827,139.015759,30.585342,81.485107,91.269707,-0.118689,-0.676328,-164.724717,43.160493,0.645865,-0.233165,-164.724717,61.637526,6.894385,0.282863,0.625696,57
0.0,-65.982731,-15.906358,55.769279,-45.327497,-24.378421,1.900326,138.767719,30.465874,81.881693,88.648421,-0.115212,-0.672943,-164.614482,42.929334,0.642319,-0.231416,-164.614482,61.875981,6.956756,0.280337,0.622525,57
0.0,27.766925,99.017665,9.027551,-51.679426,-97.685256,23.645054,296.864158,35.03135,105.726214,-343.192867,-0.138089,-0.058574,70.04833,4.898228,-0.119649,0.090464,70.04833,-65.687288,9.118908,0.108409,0.103668,59
0.0,27.246386,98.027417,9.262764,-52.4291,-100.370457,23.395788,296.72371,35.192974,104.642536,-345.864358,-0.141024,-0.057784,70.131552,5.078363,-0.120285,0.093586,70.131552,-65.520641,9.008273,0.111627,0.10376,59
0.0,26.718332,97.01013,9.495423,-53.182467,-103.093293,23.133894,296.579033,35.356818,103.532036,-348.566604,-0.144112,-0.056968,70.215407,5.262268,-0.120959,0.096863,70.215407,-65.350414,8.896381,0.115004,0.103863,59
0.0,26.182725,95.96542,9.725396,-53.939671,-105.855515,22.85875,296.429876,35.523002,102.394358,-351.300964,-0.147363,-0.056124,70.299931,5.450158,-0.121674,0.100305,70.299931,-65.1764,8.78316,0.118551,0.103978,59
0.0,25.639526,94.892882,9.95255,-54.700859,-108.658976,22.569684,296.275964,35.691655,101.229133,-354.068856,-0.150791,-0.05525,70.385163,5.642267,-0.122433,0.103926,70.385163,-64.998374,8.668536,0.12228,0.104105,59
0.0,25.088696,93.792096,10.176739,-55.466173,-111.505638,22.265973,296.117,35.862914,100.035975,-356.87177,-0.154408,-0.054343,70.471143,5.838846,-0.123237,0.107739,70.471143,-64.816095,8.552427,0.126207,0.104244,59
0.0,24.53019,92.662618,10.397816,-56.235755,-114.397585,21.946833,295.952664,36.036924,98.814478,-359.711262,-0.158231,-0.0534,70.557911,6.040166,-0.124091,0.111759,70.557911,-64.629303,8.434751,0.130346,0.104396,59
0.0,23.963967,91.503986,10.61562,-57.009741,-117.337026,21.611415,295.782603,36.213839,97.564219,-362.588968,-0.162275,-0.052419,70.64551,6.246519,-0.124996,0.116005,70.64551,-64.437717,8.315416,0.134716,0.104559,59
0.0,23.389982,90.315711,10.829985,-57.788265,-120.32631,21.2588,295.606435,36.393824,96.284754,-365.506604,-0.166559,-0.051396,70.733986,6.458222,-0.125956,0.120494,70.733986,-64.241031,8.194328,0.139335,0.104735,59
0.0,22.808188,89.097284,11.040734,-58.571452,-123.367941,20.887988,295.423743,36.577054,94.975617,-368.465969,-0.171104,-0.050328,70.823385,6.675618,-0.126975,0.125247,70.823385,-64.038914,8.071385,0.144225,0.104923,59
0.0,22.218539,87.848169,11.247679,-59.359423,-126.464586,20.497894,295.234069,36.763716,93.636321,-371.468954,-0.175932,-0.049212,70.913755,6.89908,-0.128058,0.130289,70.913755,-63.831007,7.946478,0.149409,0.105124,59
0.0,21.620985,86.5678,11.450622,-60.152285,-129.619095,20.087332,295.036909,36.954012,92.266354,-374.517544,-0.18107,-0.048041,71.005147,7.129015,-0.129208,0.135645,71.005147,-63.616917,7.819493,0.154914,0.105337,59
0.0,21.015478,85.255583,11.649351,-60.950136,-132.834515,19.65501,294.83171,37.148157,90.865181,-377.613827,-0.186545,-0.046814,71.097613,7.365866,-0.130431,0.141344,71.097613,-63.396214,7.690304,0.16077,0.105563,59
