#name zcmb zhel dz mb dmb
05D3ht 0.90173 0.90173 0.0 24.5128 0.1511 
05D3jh 0.71868 0.71868 0.0 23.68915 0.15095 
05D3jq 0.5796 0.5796 0.0 23.1779 0.1197 
05D3km 0.96074 0.96074 0.0 24.80925 0.14255 
05D3kt 0.64864 0.64864 0.0 23.53665 0.159 
05D3la 0.93675 0.93675 0.0 24.4717 0.1405 
05D3lc 0.46156 0.46156 0.0 22.76265 0.11115 
05D3mh 0.67065 0.67065 0.0 23.78495 0.1775 
05D3mq 0.24649 0.24649 0.0 21.16055 0.10805 
05D4ag 0.63822 0.63822 0.0 23.49005 0.184 
05D4be 0.53532 0.53532 0.0 23.06945 0.11085 
05D4bi 0.77307 0.77307 0.0 24.17605 0.17625 
05D4bm 0.3705 0.3705 0.0 22.15255 0.1043 
05D4cq 0.69916 0.69916 0.0 23.88895 0.1728 
05D4cw 0.3735 0.3735 0.0 22.11185 0.1039 
05D4dw 0.85298 0.85298 0.0 24.3052 0.1508 
05D4ef 0.60326 0.60326 0.0 23.58805 0.1429 
05D4ek 0.53433 0.53433 0.0 22.9223 0.1289 
05D4ff 0.40048 0.40048 0.0 22.2601 0.1151 
05D4fo 0.3715 0.3715 0.0 22.20135 0.10745 
05D4hn 0.83999 0.83999 0.0 24.0253 0.15175 
06D2ca 0.53278 0.53278 0.0 23.059 0.11385 
06D2cd 0.93225 0.93225 0.0 24.704 0.21015 
06D2ck 0.55381 0.55381 0.0 23.2838 0.1242 
06D2ga 0.84214 0.84214 0.0 24.3261 0.1858 
06D3bz 0.72767 0.72767 0.0 23.8687 0.19785 
06D3df 0.44255 0.44255 0.0 22.67285 0.1137 
06D3dt 0.28251 0.28251 0.0 21.5746 0.1073 
06D3el 0.51961 0.51961 0.0 23.03865 0.109 
06D3en 1.0608 1.0608 0.0 24.6873 0.16415 
06D3fp 0.26849 0.26849 0.0 21.24725 0.1051 
06D3gn 0.2505 0.2505 0.0 21.1763 0.1114 
06D4ba 0.69816 0.69816 0.0 23.7924 0.2171 
06D4bw 0.73012 0.73012 0.0 23.7684 0.19115 
06D4cl 0.99781 0.99781 0.0 24.6122 0.0953 
06D4cq 0.40946 0.40946 0.0 22.451 0.10895 
744 0.12679 0.12679 0.0 19.5429 0.11965 
1112 0.25577 0.25577 0.0 21.3344 0.1818 
1241 0.08859 0.08859 0.0 18.64345 0.10605 
1371 0.11782 0.11782 0.0 19.19345 0.0991 
1580 0.18356 0.18356 0.0 20.2951 0.1284 
1794 0.14055 0.14055 0.0 19.871 0.11635 
2031 0.15171 0.15171 0.0 19.7933 0.10325 
2102 0.094 0.094 0.0 18.889 0.10285 
2165 0.28631 0.28631 0.0 21.6827 0.1504 
2422 0.26318 0.26318 0.0 21.3576 0.14295 
2635 0.14167 0.14167 0.0 19.79675 0.1047 
2689 0.16053 0.16053 0.0 19.9329 0.1156 
2916 0.1229 0.1229 0.0 19.3948 0.11665 
2992 0.1262 0.1262 0.0 19.36855 0.113 
3080 0.17331 0.17331 0.0 20.15345 0.09925 
3087 0.16448 0.16448 0.0 20.03175 0.1083 
3317 0.16018 0.16018 0.0 19.92285 0.11045 
3377 0.24488 0.24488 0.0 20.86815 0.1298 
3451 0.24805 0.24805 0.0 20.98175 0.13435 
4046 0.27511 0.27511 0.0 21.37075 0.15505 
4241 0.33015 0.33015 0.0 21.9321 0.1589 
4679 0.3307 0.3307 0.0 21.82885 0.1481 
5103 0.1604 0.1604 0.0 19.98615 0.10955 
5533 0.21861 0.21861 0.0 20.87005 0.13435 
5549 0.12005 0.12005 0.0 19.36835 0.1021 
5635 0.17818 0.17818 0.0 20.72835 0.1286 
5957 0.279 0.279 0.0 21.50115 0.13265 
5994 0.18562 0.18562 0.0 20.48365 0.1298 
6057 0.06641 0.06641 0.0 17.9881 0.1134 
6108 0.25769 0.25769 0.0 21.2775 0.14285 
6196 0.27946 0.27946 0.0 21.2773 0.1398 
6315 0.2655 0.2655 0.0 21.0609 0.1301 
6422 0.18478 0.18478 0.0 20.37525 0.1056 
6558 0.05715 0.05715 0.0 17.65695 0.1072 
6924 0.32601 0.32601 0.0 21.6733 0.1464 
7147 0.10902 0.10902 0.0 19.1721 0.10285 
7243 0.20299 0.20299 0.0 20.7001 0.1382 
7779 0.37949 0.37949 0.0 22.13745 0.1395 
7847 0.21198 0.21198 0.0 20.68915 0.12295 
8495 0.21327 0.21327 0.0 20.78295 0.1364 
8921 0.14393 0.14393 0.0 19.83575 0.113 
9032 0.25218 0.25218 0.0 21.1678 0.16095 
9457 0.25641 0.25641 0.0 21.2758 0.1749 
9467 0.2186 0.2186 0.0 20.976 0.1685 
12779 0.07883 0.07883 0.0 18.5397 0.12205 
12781 0.08328 0.08328 0.0 18.7438 0.11605 
12856 0.17008 0.17008 0.0 20.2489 0.107 
12881 0.23643 0.23643 0.0 20.87655 0.14325 
12883 0.30538 0.30538 0.0 21.3803 0.19765 
12898 0.08286 0.08286 0.0 18.5179 0.1055 
12927 0.18905 0.18905 0.0 20.2039 0.1187 
12950 0.08162 0.08162 0.0 18.511 0.10425 
12972 0.25626 0.25626 0.0 21.2564 0.16145 
13005 0.12631 0.12631 0.0 19.58525 0.13485 
13038 0.1028 0.1028 0.0 19.16175 0.1443 
13044 0.1244 0.1244 0.0 19.4784 0.1006 
13136 0.37003 0.37003 0.0 22.46065 0.1636 
13152 0.20192 0.20192 0.0 20.38595 0.11475 
13254 0.18004 0.18004 0.0 20.68245 0.14335 
13411 0.16163 0.16163 0.0 20.1359 0.1299 
13578 0.22644 0.22644 0.0 20.8771 0.141 
13610 0.29649 0.29649 0.0 21.4449 0.1446 
13689 0.24999 0.24999 0.0 21.20115 0.13305 
13736 0.14864 0.14864 0.0 19.91815 0.1063 
13796 0.14711 0.14711 0.0 19.776 0.10335 
14019 0.2149 0.2149 0.0 21.20185 0.1483 
14024 0.14462 0.14462 0.0 19.8106 0.13965 
14108 0.13226 0.13226 0.0 19.9293 0.1333 
14331 0.2195 0.2195 0.0 21.00055 0.1346 
14397 0.38447 0.38447 0.0 22.40575 0.14945 
14421 0.1742 0.1742 0.0 20.3461 0.1115 
14451 0.17772 0.17772 0.0 20.20345 0.1224 
14735 0.29911 0.29911 0.0 21.51975 0.1301 
14871 0.1187 0.1187 0.0 19.44875 0.1339 
14979 0.17685 0.17685 0.0 20.2397 0.106 
15057 0.24526 0.24526 0.0 21.3752 0.1882 
15129 0.1959 0.1959 0.0 20.54825 0.11935 
15161 0.24832 0.24832 0.0 21.09655 0.1326 
15213 0.30617 0.30617 0.0 21.77705 0.16135 
15219 0.24616 0.24616 0.0 21.1569 0.13055 
15234 0.13527 0.13527 0.0 19.9671 0.1135 
15259 0.21028 0.21028 0.0 20.6402 0.1335 
